Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
0.28502222286993695,0.38124855,0.227039821,0.634357661,-0.455400627,-0.191146752,0.278257142,0.447206173,0.688173777,0.327944584,0.087556935,0.379390291,-0.914758918,-0.250280362,0.345467798,0.430821917,0
-0.341654131,-0.189673998,0.09080452,-0.749606764,1.47402109,1.166840913,-0.340170989,-0.32078089,-1.063187905,-0.242300036,-0.983443493,-1.397990739,0.936532942,-0.833981794,-1.357817018,-0.819355344,4
-0.315348814,-0.349101112,-0.351854878,-0.206440243,-0.32711449,-0.049143396,-0.316392977,-0.285444958,0.035187938,0.112746855,0.511623948,0.235731212,0.049248694,0.134969766,0.198748685,0.351637517,6
-0.075355057,0.178868423,0.56957061,-0.548719935,2.009349489,1.370317814,-0.076747913,0.023477661,-3.003133544,0.073946151,-1.228416285,-1.788428601,0.611497436,-1.182595809,-1.699344758,-1.518765955,4
0.665961247,0.916885615,1.069870858,0.562899672,0.916504841,0.898985942,0.676455588,0.861201813,-1.976841011,-1.101789105,-0.814286887,-0.9972122,-0.792677106,-1.136562495,-0.995017905,-1.987300568,2
-0.51896470473986,-0.684487147,-0.835771837,-0.181235716,-1.230257632,-1.385114572,-0.522602292,-0.567736217,-0.107497943,0.641154428,1.234958248,1.351317504,0.005625702,1.260936461,1.379902305,0.718333205,5
-0.149841708,-0.058838934,0.063787671,-0.250512983,0.493608206,0.643746595,-0.149214236,-0.069960306,-1.461926573,-0.159714992,-0.203084007,-0.574398836,0.111461138,-0.515325714,-0.598846039,0.305335986,6
0.154833376,0.529603434,0.699644451,-0.014760094,1.226128141,1.055930052,0.236795482,0.300129967,-2.172643263,-8.621536372,-1.713309039,-1.416595118,0.02811746,-1.120963639,-1.374357545,-8.698745686,4
-0.343547573,-0.374153944,-0.334177547,-0.312992277,-0.13878775,0.139826448,-0.346898101,-0.323336607,0.916526018,0.459296457,0.431450453,0.041826071,0.193734084,0.031713384,0.003236908,0.552341179,6
-0.167626537,-0.130940623,-0.145858598,-0.035858831,-0.203544149,0.077271884,-0.166598161,-0.092580353,-0.17939421,-0.208064449,0.1819207,0.079934735,-0.154916334,-0.105289426,0.041432416,-0.483386695,6
